"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.463083792E0,1.181044006E0,-1.388662262E0,9.867181091E0
2.473123792E0,1.152154083E0,-1.505868530E0,9.819879456E0
2.483163792E0,1.165775757E0,-1.563199310E0,9.644743652E0
2.493204792E0,1.204994202E0,-1.537901917E0,9.514065399E0
2.503244792E0,1.205892334E0,-1.460213470E0,9.549242249E0
2.513284792E0,1.177152100E0,-1.350491638E0,9.681267700E0
2.523355792E0,1.176703033E0,-1.270557861E0,9.731263733E0
2.533395792E0,1.200054474E0,-1.249002686E0,9.646390228E0
2.543435792E0,1.198407898E0,-1.277443542E0,9.583520966E0
2.553476792E0,1.185834045E0,-1.335971832E0,9.590706024E0
2.563516792E0,1.184187469E0,-1.410217438E0,9.626331940E0
2.573587792E0,1.191522217E0,-1.452130280E0,9.664053497E0
2.583627792E0,1.184636536E0,-1.454974365E0,9.686207428E0
2.593667792E0,1.169068909E0,-1.426832886E0,9.656569061E0
2.603708792E0,1.174008636E0,-1.374292145E0,9.598938904E0
2.613748792E0,1.194515991E0,-1.328337708E0,9.604627075E0
2.623788792E0,1.191073151E0,-1.314117279E0,9.639803925E0
2.633859792E0,1.187480621E0,-1.321751404E0,9.648934937E0
2.643899792E0,1.188528442E0,-1.354533234E0,9.644743652E0
2.653940792E0,1.178948364E0,-1.401685181E0,9.637857971E0
2.663980792E0,1.177002411E0,-1.426533508E0,9.627828827E0
2.674020792E0,1.185534668E0,-1.420845337E0,9.632768555E0
2.684060792E0,1.186283112E0,-1.393901367E0,9.650880890E0
2.694131792E0,1.195114746E0,-1.360820160E0,9.632768555E0
2.704172792E0,1.188079376E0,-1.332678680E0,9.632618866E0
2.714212792E0,1.180445251E0,-1.337019653E0,9.631121979E0
2.724252792E0,1.188678131E0,-1.352886658E0,9.626781006E0
2.734292792E0,1.198856964E0,-1.373094635E0,9.638007660E0
2.744363792E0,1.183439026E0,-1.405277710E0,9.647288361E0
2.754403792E0,1.185983734E0,-1.407223663E0,9.646240540E0
2.764444792E0,1.187031555E0,-1.393601990E0,9.635462952E0
2.774484792E0,1.180894318E0,-1.382525024E0,9.629475403E0
2.784524792E0,1.186881866E0,-1.359622650E0,9.639654236E0
2.794565792E0,1.192270660E0,-1.346599731E0,9.636660461E0
2.804635792E0,1.191522217E0,-1.352736969E0,9.636810150E0
2.814676792E0,1.176104279E0,-1.368753662E0,9.635462952E0
2.824716792E0,1.183888092E0,-1.383273468E0,9.632169800E0
2.834756792E0,1.184486847E0,-1.390009460E0,9.643097076E0
2.844797792E0,1.182391205E0,-1.387464752E0,9.646240540E0
2.854867792E0,1.183289337E0,-1.388811951E0,9.644294586E0
2.864908792E0,1.180744629E0,-1.374441833E0,9.635912018E0
2.874948792E0,1.188528442E0,-1.359922028E0,9.635013885E0
2.884988792E0,1.185983734E0,-1.358724518E0,9.632469177E0
2.895028792E0,1.183888092E0,-1.367855530E0,9.637109528E0
2.905069792E0,1.182391205E0,-1.369651794E0,9.636211395E0
2.915140792E0,1.181642761E0,-1.375339966E0,9.645941162E0
2.925180792E0,1.184337158E0,-1.376537476E0,9.644444275E0
2.935220792E0,1.180145874E0,-1.382824402E0,9.638905792E0
2.945260792E0,1.186582489E0,-1.381776581E0,9.642648010E0
2.955301792E0,1.186432800E0,-1.370100861E0,9.654623108E0
2.965341792E0,1.190175018E0,-1.361568604E0,9.646988983E0
2.975412792E0,1.182989960E0,-1.355730743E0,9.642797699E0
2.985452792E0,1.194665680E0,-1.376836853E0,9.643995209E0
2.995492792E0,1.190175018E0,-1.384021912E0,9.640552368E0
3.005533792E0,1.184935913E0,-1.379082184E0,9.639504547E0
3.015573792E0,1.187929688E0,-1.382075958E0,9.642947388E0
3.025644792E0,1.190324707E0,-1.386267242E0,9.646988983E0
3.035684792E0,1.189127197E0,-1.375789032E0,9.635762329E0
3.045724792E0,1.186582489E0,-1.367406464E0,9.635462952E0
3.055765792E0,1.186133423E0,-1.364562378E0,9.637708282E0
3.065805792E0,1.186582489E0,-1.364712067E0,9.635163574E0
3.075845792E0,1.173858948E0,-1.369352417E0,9.640702057E0
3.085916792E0,1.181193695E0,-1.386416931E0,9.632020111E0
3.095956792E0,1.195414124E0,-1.375789032E0,9.635313263E0
3.105996792E0,1.179547119E0,-1.373543701E0,9.639504547E0
3.116037792E0,1.178499298E0,-1.377734985E0,9.639803925E0
3.126077792E0,1.189127197E0,-1.363813934E0,9.638606415E0
3.136117792E0,1.193767548E0,-1.366059265E0,9.637109528E0
3.146188792E0,1.186283112E0,-1.372196503E0,9.633217621E0
3.156228792E0,1.183738403E0,-1.374741211E0,9.639504547E0
3.166269792E0,1.182391205E0,-1.375639343E0,9.632169800E0
3.176313167E0,1.173858948E0,-1.383123779E0,9.631720734E0
3.186353167E0,1.184486847E0,-1.383273468E0,9.620194702E0
3.196424167E0,1.191671906E0,-1.376537476E0,9.631421356E0
3.206464167E0,1.199006653E0,-1.370250549E0,9.639354858E0
3.216505167E0,1.184935913E0,-1.374142456E0,9.639055481E0
3.226545167E0,1.183289337E0,-1.371148682E0,9.634564819E0
3.236585167E0,1.185384979E0,-1.379381561E0,9.641899567E0
3.246625167E0,1.179696808E0,-1.372346191E0,9.635462952E0
3.256696167E0,1.190923462E0,-1.376238098E0,9.628128204E0
3.266737167E0,1.193767548E0,-1.376986542E0,9.641151123E0
3.276777167E0,1.186133423E0,-1.377136230E0,9.637558594E0
3.286817167E0,1.181493073E0,-1.374292145E0,9.635612640E0
3.296857167E0,1.195863190E0,-1.371298370E0,9.630672913E0
3.306928167E0,1.192120972E0,-1.375639343E0,9.639654236E0
3.316969167E0,1.190324707E0,-1.377136230E0,9.637109528E0
3.327009167E0,1.187031555E0,-1.370998993E0,9.623038788E0
3.337049167E0,1.182091827E0,-1.373843079E0,9.639354858E0
3.347089167E0,1.188678131E0,-1.370400238E0,9.637408905E0
3.357130167E0,1.182091827E0,-1.376238098E0,9.636660461E0
3.367200167E0,1.189276886E0,-1.377734985E0,9.637708282E0
3.377241167E0,1.194515991E0,-1.372046814E0,9.642049255E0
3.387281167E0,1.193917236E0,-1.372046814E0,9.643246765E0
3.397321167E0,1.183289337E0,-1.370998993E0,9.632768555E0
3.407362167E0,1.179696808E0,-1.370849304E0,9.632020111E0
3.417402167E0,1.185684357E0,-1.375938721E0,9.633217621E0
3.427473167E0,1.192719727E0,-1.378034363E0,9.633217621E0
3.437513167E0,1.182091827E0,-1.377585297E0,9.633966064E0
3.447553167E0,1.193468170E0,-1.371897125E0,9.630972290E0
3.457594167E0,1.186432800E0,-1.371597748E0,9.636361084E0
3.467634167E0,1.179547119E0,-1.372046814E0,9.628277893E0
3.477705167E0,1.176104279E0,-1.375339966E0,9.643995209E0
3.487745167E0,1.187630310E0,-1.368454285E0,9.642498322E0
3.497785167E0,1.180744629E0,-1.370400238E0,9.636211395E0
3.507825167E0,1.185834045E0,-1.373394012E0,9.625134430E0
3.517866167E0,1.183738403E0,-1.373094635E0,9.635612640E0
3.527906167E0,1.188378754E0,-1.369053040E0,9.641749878E0
3.537977167E0,1.186283112E0,-1.373992767E0,9.629176025E0
3.548017167E0,1.182840271E0,-1.370699615E0,9.634864197E0
3.558057167E0,1.182690582E0,-1.374142456E0,9.627679138E0
3.568098167E0,1.186432800E0,-1.371597748E0,9.643396454E0
3.578138167E0,1.184337158E0,-1.375938721E0,9.638307037E0
3.588178167E0,1.185235291E0,-1.376088409E0,9.637408905E0
3.598249167E0,1.189875641E0,-1.365161133E0,9.626481628E0
3.608289167E0,1.188079376E0,-1.366658020E0,9.624835052E0
3.618330167E0,1.186283112E0,-1.385967865E0,9.622589722E0
3.628370167E0,1.189276886E0,-1.375190277E0,9.628277893E0
3.638410167E0,1.193019104E0,-1.369651794E0,9.636660461E0
3.648481167E0,1.185534668E0,-1.370100861E0,9.627379761E0
3.658521167E0,1.184935913E0,-1.372795258E0,9.634265442E0
3.668562167E0,1.183139648E0,-1.369202728E0,9.629176025E0
3.678602167E0,1.186283112E0,-1.375639343E0,9.639354858E0
3.688642167E0,1.191522217E0,-1.372795258E0,9.640402679E0
3.698682167E0,1.184786224E0,-1.372645569E0,9.639803925E0
3.708753167E0,1.189725952E0,-1.380878448E0,9.635612640E0
3.718793167E0,1.183289337E0,-1.373094635E0,9.631720734E0
3.728834167E0,1.183588715E0,-1.368454285E0,9.627978516E0
3.738874167E0,1.184486847E0,-1.371298370E0,9.633067932E0
3.748914167E0,1.185534668E0,-1.382375336E0,9.632169800E0
3.758985167E0,1.188977509E0,-1.376687164E0,9.644593964E0
3.769025167E0,1.181343384E0,-1.370849304E0,9.642498322E0
3.779066167E0,1.183888092E0,-1.366807709E0,9.636959839E0
3.789106167E0,1.182840271E0,-1.372795258E0,9.641899567E0
3.799146167E0,1.188827820E0,-1.369202728E0,9.631271667E0
3.809187167E0,1.191522217E0,-1.372346191E0,9.628726959E0
3.819257167E0,1.186432800E0,-1.366508331E0,9.640252991E0
3.829298167E0,1.187330933E0,-1.368304596E0,9.635013885E0
3.839338167E0,1.179098053E0,-1.374292145E0,9.628427582E0
3.849378167E0,1.181942139E0,-1.374591522E0,9.639654236E0
3.859418167E0,1.181792450E0,-1.373094635E0,9.641151123E0
3.869459167E0,1.179996185E0,-1.374890900E0,9.640851746E0
3.879530167E0,1.182091827E0,-1.377585297E0,9.622889099E0
3.889570167E0,1.189725952E0,-1.369651794E0,9.624535675E0
3.899610167E0,1.189276886E0,-1.368603973E0,9.632918243E0
3.909650167E0,1.185085602E0,-1.368603973E0,9.642049255E0
3.919691167E0,1.185834045E0,-1.380429382E0,9.639803925E0
3.929761167E0,1.196461945E0,-1.373244324E0,9.630972290E0
3.939802167E0,1.192570038E0,-1.371148682E0,9.641600189E0
3.949842167E0,1.174308014E0,-1.379231873E0,9.642648010E0
3.959882167E0,1.186582489E0,-1.377136230E0,9.634564819E0
3.969923167E0,1.191821594E0,-1.381477203E0,9.629924469E0
3.979963167E0,1.188079376E0,-1.367406464E0,9.650581512E0
3.990034167E0,1.185235291E0,-1.372795258E0,9.643396454E0
4.000074167E0,1.184786224E0,-1.379680939E0,9.636660461E0
4.010114167E0,1.192420349E0,-1.376537476E0,9.629026337E0
4.020155167E0,1.181193695E0,-1.370100861E0,9.639354858E0
4.030195167E0,1.180894318E0,-1.377734985E0,9.634864197E0
4.040235167E0,1.191522217E0,-1.373394012E0,9.624685364E0
4.050306167E0,1.192120972E0,-1.386716309E0,9.638905792E0
4.060346167E0,1.181642761E0,-1.384321289E0,9.637259216E0
4.070386167E0,1.177301788E0,-1.372645569E0,9.637259216E0
4.080427167E0,1.186283112E0,-1.371448059E0,9.630373535E0
4.090467167E0,1.189875641E0,-1.366957397E0,9.642947388E0
4.100538167E0,1.191671906E0,-1.369801483E0,9.639205170E0
4.110578167E0,1.184786224E0,-1.375040588E0,9.639803925E0
4.120618167E0,1.182690582E0,-1.372196503E0,9.638157349E0
