"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.765922333E0,2.760341763E-1,-1.340557814E0,-1.742681861E-2
1.775962333E0,2.914593220E-1,-1.315393329E0,-2.121748403E-2
1.786002333E0,3.048757911E-1,-1.296671271E0,-2.408810519E-2
1.796042333E0,3.186732531E-1,-1.273354292E0,-2.541017532E-2
1.806083333E0,3.265072107E-1,-1.244390249E0,-2.904299274E-2
1.816154333E0,3.381098211E-1,-1.218776226E0,-3.204559907E-2
1.826194333E0,3.462108672E-1,-1.192350745E0,-3.498013690E-2
1.836234333E0,3.525338769E-1,-1.171106935E0,-3.675510734E-2
1.846274333E0,3.593318760E-1,-1.141952276E0,-3.761956841E-2
1.856315333E0,3.654771149E-1,-1.118107677E0,-4.033918679E-2
1.866355333E0,3.681136370E-1,-1.093370676E0,-4.247237742E-2
1.876426333E0,3.694592118E-1,-1.066789508E0,-4.348126426E-2
1.886466333E0,3.678037822E-1,-1.043269038E0,-4.574468732E-2
1.896506333E0,3.610635400E-1,-1.015198469E0,-4.695632309E-2
1.906547333E0,3.518876135E-1,-9.864597321E-1,-5.049246922E-2
1.916587333E0,3.418801427E-1,-9.521087408E-1,-5.256347358E-2
1.926627333E0,3.275568783E-1,-9.117791653E-1,-5.475685373E-2
1.936698333E0,3.126639426E-1,-8.680384159E-1,-5.718799680E-2
1.946738333E0,2.630311549E-1,-7.882346511E-1,-6.067647412E-2
1.956779333E0,-2.059506178E0,2.937870979E0,6.865463257E-1
1.966819333E0,-1.396167183E1,1.114012814E1,3.949776649E0
1.976859333E0,-2.012071609E1,8.746550560E0,2.992017269E0
1.986930333E0,-1.550108147E1,3.438696861E0,6.887214780E-1
1.996970333E0,-6.276540756E0,5.219747424E-1,-1.909027696E-1
2.007010333E0,5.691812038E-1,-1.292168975E0,-3.386738598E-1
2.017051333E0,2.315928221E0,-2.874385357E0,-4.271798730E-1
2.027091333E0,2.091224194E0,-4.086649895E0,-4.993475378E-1
2.037131333E0,1.683547735E0,-4.978667736E0,-5.363784432E-1
2.047202333E0,1.452229381E0,-5.579362869E0,-5.067710280E-1
2.057242333E0,1.287601948E0,-5.784840584E0,-4.256360531E-1
2.067283333E0,1.143666029E0,-5.586044312E0,-3.285633028E-1
2.077323333E0,9.057726860E-1,-4.930126190E0,-1.544362754E-1
2.087363333E0,5.630262494E-1,-3.980267763E0,1.300345957E-1
2.097404333E0,2.055793107E-1,-2.941833019E0,4.486072659E-1
2.107474333E0,-1.125366017E-1,-1.937757254E0,7.662233114E-1
2.117515333E0,-3.556153774E-1,-1.017924309E0,1.056829333E0
2.127555333E0,-5.096445680E-1,-2.113838494E-1,1.276265740E0
2.137595333E0,-5.977974534E-1,4.833406508E-1,1.431378722E0
2.147635333E0,-6.320424676E-1,1.190741777E0,1.534662485E0
2.157706333E0,-6.235749125E-1,2.090667963E0,1.603023410E0
2.167747333E0,-5.362770557E-1,3.415968180E0,1.621924043E0
2.177774792E0,-3.216526806E-1,5.396421909E0,1.580499291E0
2.187814792E0,4.158277437E-2,8.031422615E0,1.475348949E0
2.197854792E0,3.921046853E-1,1.033021450E1,1.272552848E0
2.207895792E0,5.598571897E-1,1.030656338E1,8.518421650E-1
2.217965792E0,5.053002834E-1,7.057663918E0,2.667319477E-1
2.228006792E0,3.287404180E-1,2.911172390E0,-1.976531185E-2
2.238046792E0,2.840801142E-3,-4.750979245E-1,-5.321170017E-2
2.248086792E0,-3.057662845E-1,-2.510108471E0,-9.215350449E-2
2.258127792E0,-3.638149202E-1,-3.149059534E0,-1.484005302E-1
2.268197792E0,-2.385494113E-1,-2.817456007E0,-1.917850077E-1
2.278238792E0,-9.682771564E-2,-2.065670729E0,-1.344798654E-1
2.288278792E0,-2.575274184E-2,-1.304554224E0,-4.107401520E-2
2.298318792E0,-2.446628362E-2,-5.730451345E-1,1.813698187E-2
2.308359792E0,-7.061167061E-2,1.110426635E-1,1.875749789E-2
2.318399792E0,-1.534514427E-1,5.960683227E-1,2.058101818E-2
2.328470792E0,-2.324229479E-1,7.029202580E-1,3.994699195E-2
2.338510792E0,-2.390245497E-1,5.232289433E-1,3.885048255E-2
2.348550792E0,-1.446349323E-1,2.644202709E-1,2.355381846E-2
2.358590792E0,-5.915397778E-3,4.816760123E-2,9.625752456E-3
2.368631792E0,1.026409119E-1,-7.187011838E-2,-4.591266159E-3
2.378671792E0,1.361573189E-1,-9.022356570E-2,-1.132453699E-2
2.388742792E0,7.612673938E-2,-3.961551189E-2,-1.133598853E-2
2.398782792E0,1.721433550E-2,8.545909077E-4,-6.906158756E-3
2.408822792E0,1.175858360E-2,8.726894855E-3,-2.398225944E-3
2.418863792E0,2.069949359E-2,2.365831286E-3,-8.816358750E-4
2.428903792E0,8.361067623E-3,-1.521396078E-2,-2.094540396E-4
2.438974792E0,-2.089820430E-2,5.303677171E-4,1.181375235E-3
2.449014792E0,-3.779995814E-2,1.452448033E-2,4.612059332E-3
2.459054792E0,-2.650921606E-2,1.339566708E-2,2.818370471E-3
2.469095792E0,-9.766453877E-3,-9.434016421E-3,7.427028031E-4
2.479135792E0,1.502472907E-3,-1.076036505E-2,6.338362582E-4
2.489175792E0,1.043071970E-2,1.885654405E-3,-1.077777357E-3
2.499246792E0,1.905468479E-2,4.816457629E-3,-1.458212268E-3
2.509286792E0,1.653426886E-2,-2.709103748E-3,-2.120007761E-3
2.519327792E0,6.245452911E-3,-5.429240875E-3,-2.299236599E-3
2.529367792E0,-6.559824571E-3,4.111001268E-3,6.422249135E-4
2.539407792E0,-1.046474464E-2,9.044384584E-3,1.009918982E-3
2.549478792E0,-1.154012978E-2,4.016272724E-4,1.667985925E-3
2.559518792E0,-9.648859501E-3,3.232253715E-3,1.210222719E-3
2.569558792E0,-1.783212647E-3,3.829067573E-3,1.358294627E-3
2.579599792E0,5.576998927E-3,-1.058485359E-4,1.838948810E-4
2.589639792E0,6.783943623E-3,-3.045178950E-3,-4.027995165E-4
2.599679792E0,7.370461710E-3,-3.696659580E-3,-8.505949518E-5
2.609750792E0,3.842305392E-3,2.489862964E-3,-5.042410339E-4
2.619790792E0,-1.844070852E-3,6.268266588E-4,8.059820393E-4
2.629831792E0,-4.065945745E-3,5.005933344E-4,-6.353207864E-4
2.639871792E0,-6.682924926E-3,1.150719821E-3,1.550832996E-3
2.649911792E0,-3.814700991E-3,-1.515671611E-4,-2.499964903E-4
2.659952792E0,4.226714373E-4,-1.429561526E-3,-6.448306958E-4
2.670022792E0,6.263782270E-3,-5.067754537E-4,1.634386717E-4
2.680063792E0,5.762100220E-3,9.014718235E-4,-1.523512066E-3
2.690103792E0,3.675512969E-3,-3.361184150E-3,-2.691041911E-3
2.700143792E0,1.581653021E-3,1.601548865E-3,-1.758118742E-4
2.710183792E0,-3.379549831E-3,1.194350421E-3,7.772108074E-5
2.720254792E0,-5.292201415E-3,2.680068836E-3,-1.423443900E-4
2.730295792E0,-4.604838789E-3,2.486035228E-4,1.487391419E-4
2.740335792E0,-2.178287134E-3,2.509523183E-3,7.489166455E-5
2.750375792E0,2.148816362E-3,-7.270164788E-4,-3.964878561E-4
2.760415792E0,2.663871273E-3,2.757729962E-3,-1.423402689E-3
2.770456792E0,2.089960501E-3,-5.283448845E-4,-1.080675283E-4
2.780527792E0,2.231776714E-3,-5.472004414E-4,3.462420427E-4
2.790567792E0,-6.324537098E-4,-4.462674260E-4,3.105556243E-4
2.800607792E0,-3.401502967E-3,4.022680223E-4,-1.599763753E-3
2.810647792E0,-3.166612238E-3,1.380834728E-4,2.442090190E-4
2.820688792E0,-1.366060227E-3,8.167084306E-4,9.300746024E-4
2.830728792E0,-6.611216813E-4,-1.630204730E-3,1.830579713E-4
2.840799792E0,-7.726252079E-6,-1.672218554E-3,2.333478187E-4
2.850839792E0,2.665556036E-3,-6.530266255E-4,3.177699982E-4
2.860879792E0,3.013947047E-3,2.456232905E-4,3.385188174E-4
2.870920792E0,2.656284720E-3,-2.757624723E-3,-1.040998613E-3
2.880960792E0,-1.497428864E-3,2.343881875E-3,-2.474833163E-4
2.891031792E0,-2.296909690E-3,9.728856385E-4,7.422658382E-5
2.901071792E0,-1.864193007E-3,-2.466924489E-4,-1.199781895E-3
2.911111792E0,-1.324636862E-3,3.328099847E-4,-7.137550274E-4
2.921152792E0,2.365841530E-3,4.214685410E-3,-8.906138246E-4
2.931192792E0,1.683006994E-3,8.324701339E-4,-8.400137885E-4
2.941232792E0,2.913828939E-4,5.153007805E-5,-1.430249074E-3
2.951303792E0,1.426954754E-3,2.702439204E-3,-1.375654247E-3
2.961343792E0,1.080203801E-4,1.570008695E-3,-6.144959480E-4
2.971383792E0,-1.504257321E-3,5.931612104E-4,1.260902267E-3
2.981424792E0,-1.610532403E-3,-6.308797747E-4,4.506550613E-4
2.991464792E0,-1.011854038E-3,1.105234027E-3,-6.364472792E-4
3.001535792E0,1.374651678E-3,-1.578206196E-3,2.445158316E-5
3.011575792E0,1.463335007E-3,5.574896932E-6,2.711475827E-5
3.021615792E0,5.344115198E-5,3.214702010E-4,6.389488699E-4
3.031656792E0,1.005787402E-3,1.771295443E-3,1.017892500E-4
3.041696792E0,-1.092668623E-3,1.979019493E-3,8.762086509E-5
3.051736792E0,6.386525929E-4,4.170741886E-4,-5.952136707E-4
3.061807792E0,5.953572690E-5,2.768378705E-3,-2.602371387E-5
3.071847792E0,1.255813986E-4,1.441059634E-3,-9.978112066E-4
3.081888792E0,-1.408383250E-3,2.633674070E-3,1.580762328E-4
3.091928792E0,-8.587054908E-4,1.862956211E-3,-1.543125836E-4
3.101968792E0,1.786878332E-3,-3.388797864E-3,-1.043488388E-3
3.112008792E0,1.772763208E-3,1.081051305E-3,-5.297646858E-4
3.122079792E0,-6.958730519E-4,-2.249605022E-3,9.526883950E-4
3.132120792E0,-1.165920869E-3,9.608361870E-4,-1.529910369E-3
3.142160792E0,-1.020360738E-3,1.747639850E-3,-8.000349044E-4
3.152200792E0,4.622209817E-4,1.085313037E-3,-6.633403245E-5
3.162240792E0,-8.547063917E-4,2.228185534E-3,-1.676652348E-3
3.172315167E0,-5.788728595E-5,6.095152348E-4,5.972874351E-5
3.182355167E0,2.396579832E-3,-3.555544652E-3,2.006681170E-4
3.192396167E0,-1.747012138E-4,-1.899324358E-3,1.721723238E-4
3.202436167E0,3.741811961E-4,2.230554819E-4,-1.402325113E-3
3.212476167E0,9.108707309E-5,3.703273833E-4,-1.049456303E-3
3.222517167E0,-2.336148173E-4,-1.959989779E-3,7.304543396E-5
3.232587167E0,-1.334831119E-3,-9.775497019E-4,1.513423631E-4
3.242628167E0,1.680478454E-5,-2.638916485E-3,-1.188146533E-3
3.252668167E0,-6.359349936E-4,4.551447928E-4,-4.298723070E-5
3.262708167E0,2.843271941E-4,-6.860122085E-4,1.212477218E-3
3.272749167E0,-8.352641016E-4,9.614191949E-4,-1.464266097E-3
3.282789167E0,-8.255392313E-4,-1.232953742E-3,6.440142170E-5
3.292860167E0,-1.190125942E-3,2.502927557E-3,-2.197578724E-4
3.302900167E0,8.783871308E-4,-1.819306985E-3,8.938525571E-4
3.312940167E0,-1.338960603E-3,-7.140953094E-4,7.748092758E-4
3.322980167E0,-1.328818500E-3,3.073401749E-3,-7.439474575E-5
3.333021167E0,-9.375996888E-4,-7.045585662E-4,-1.252843533E-3
3.343092167E0,-1.086141914E-3,-1.103539020E-3,-3.959528112E-4
3.353132167E0,-3.073178232E-5,-2.217665315E-4,-1.458812039E-5
3.363172167E0,-5.548149347E-4,4.317723215E-4,-1.657451503E-4
3.373212167E0,2.326193266E-3,1.638587564E-4,1.961085945E-5
3.383253167E0,-2.358220518E-4,2.865182236E-3,2.384660183E-4
3.393293167E0,-2.792328596E-4,-1.311413944E-4,2.009154414E-4
3.403364167E0,-1.101745293E-3,2.036355436E-3,1.241696416E-3
3.413404167E0,2.450160682E-4,1.545535401E-3,-2.249063400E-4
3.423444167E0,-1.042699441E-3,-1.021057367E-3,2.437377814E-3
3.433485167E0,-1.084776595E-3,-1.167265698E-3,6.306892028E-4
3.443525167E0,1.694969833E-4,7.769372314E-4,2.892300836E-4
3.453596167E0,1.577510498E-3,-1.137608662E-3,3.784459550E-4
3.463636167E0,-1.920547336E-3,-1.108475029E-3,-2.677953162E-4
3.473676167E0,-1.026524231E-3,8.841026574E-4,9.314261260E-4
3.483717167E0,-1.671733335E-3,-3.125509247E-3,2.940944396E-4
3.493757167E0,1.612742431E-3,2.004271373E-3,2.624028130E-4
3.503797167E0,6.666686386E-4,-8.895527571E-4,-4.140008823E-4
3.513868167E0,1.456296071E-3,-6.464049220E-4,1.552743488E-3
3.523908167E0,5.977787077E-5,-1.084178686E-3,-8.884443669E-4
3.533948167E0,-5.357060581E-4,-9.774230421E-5,-1.557164127E-3
3.543989167E0,-3.342125565E-4,-9.825080633E-4,1.055362867E-3
3.554029167E0,-9.451415390E-4,-2.305832691E-3,-1.121238573E-3
3.564069167E0,-2.185458317E-3,2.362284809E-3,-1.242972445E-3
3.574140167E0,6.803702563E-4,-1.847106963E-3,6.955424324E-4
3.584180167E0,7.324386388E-4,3.007477149E-3,-1.507273642E-3
3.594221167E0,2.405703068E-3,-4.162844270E-4,-1.071846811E-3
3.604261167E0,-2.418348566E-3,2.064935863E-3,2.049269970E-4
3.614301167E0,6.333682686E-4,3.160387278E-4,-2.906872833E-4
3.624372167E0,-2.443540841E-3,1.387704164E-3,1.164231566E-3
3.634412167E0,-7.817279547E-4,3.058305010E-3,-1.553257927E-3
3.644453167E0,-1.071769744E-3,-3.023538738E-4,-2.297696774E-4
3.654493167E0,1.542655751E-3,-5.356464535E-4,3.478699364E-4
3.664533167E0,-2.212883905E-3,1.407915726E-3,4.377356963E-4
3.674573167E0,-7.175188512E-4,1.158377156E-3,-2.371093433E-4
3.684644167E0,-1.300094649E-3,3.348052502E-3,-1.504180720E-3
3.694685167E0,2.067200840E-4,3.420490772E-3,1.488631824E-5
3.704725167E0,-9.183604270E-4,6.044656038E-4,9.216711042E-4
3.714765167E0,-2.275370061E-4,-3.143932670E-3,-9.063227335E-4
3.724805167E0,-9.881164879E-4,-2.733506262E-4,1.356881112E-3
3.734846167E0,5.445331335E-4,2.756528556E-3,4.138557706E-4
3.744916167E0,4.860311747E-4,-1.700911671E-4,2.646086738E-3
3.754957167E0,1.664480194E-3,1.475742087E-3,-1.073816442E-3
3.764997167E0,-8.285678923E-4,-1.008918509E-3,2.662313636E-4
3.775037167E0,-1.147614792E-3,4.856474698E-4,1.299271476E-3
3.785078167E0,-1.103352755E-3,3.191117197E-3,-1.074946194E-4
3.795148167E0,6.553996354E-4,-2.153313719E-3,2.227298683E-3
3.805189167E0,-3.449302167E-4,1.431740820E-4,-1.057231100E-3
3.815229167E0,6.093457341E-5,-8.326079696E-4,-7.772049867E-5
3.825269167E0,1.077186316E-4,4.020314664E-4,2.632336109E-4
3.835310167E0,1.537911594E-4,-5.102456547E-3,3.180947388E-4
