"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.046518625E0,-9.554687887E-3,2.164212018E-1,1.118194610E-1
2.056558625E0,-2.947007492E-2,1.971463114E-1,9.053680301E-2
2.066599625E0,-5.039945245E-2,1.804532707E-1,7.559997588E-2
2.076639625E0,-6.243906915E-2,1.792335510E-1,8.111698180E-2
2.086679625E0,-6.032910198E-2,2.195840925E-1,9.876218438E-2
2.096750625E0,-4.595069587E-2,2.407631427E-1,1.252507716E-1
2.106790625E0,-2.945706993E-2,2.623440027E-1,1.461840719E-1
2.116831625E0,-1.415827498E-2,2.892611027E-1,1.603483558E-1
2.126871625E0,-1.040603220E-2,2.925772071E-1,1.747875214E-1
2.136911625E0,-1.358744502E-2,2.920626700E-1,1.855730563E-1
2.146951625E0,-2.356232889E-2,2.899039984E-1,1.936441213E-1
2.156992625E0,-3.871758282E-2,2.925541103E-1,2.044040859E-1
2.167062625E0,-5.654332042E-2,3.114943504E-1,2.086238265E-1
2.177103625E0,-7.107565552E-2,3.256565034E-1,2.149602920E-1
2.187143625E0,-8.195292950E-2,3.238321543E-1,2.185675800E-1
2.197183625E0,-8.916717023E-2,2.913575768E-1,2.304817587E-1
2.207224625E0,-8.558072150E-2,2.767708600E-1,2.562322915E-1
2.217264625E0,-8.444222063E-2,2.211288810E-1,2.874186933E-1
2.227335625E0,-7.877040654E-2,1.701896787E-1,3.158766627E-1
2.237375625E0,-7.314101607E-2,1.581191719E-1,3.430456817E-1
2.247415625E0,-7.204253227E-2,1.432883143E-1,3.768145442E-1
2.257456625E0,-7.482287288E-2,1.687305570E-1,3.906472623E-1
2.267496625E0,-8.781182766E-2,1.962043941E-1,3.863054514E-1
2.277536625E0,-1.021726578E-1,2.252943665E-1,3.614938557E-1
2.287576625E0,-1.258106679E-1,2.595634162E-1,2.960136235E-1
2.297647625E0,-1.477609724E-1,2.654447258E-1,2.162993699E-1
2.307687625E0,-1.589972377E-1,2.598922849E-1,1.375101656E-1
2.317728625E0,-1.596973836E-1,2.493245900E-1,6.929355115E-2
2.327768625E0,-1.585476846E-1,2.350876331E-1,2.773411758E-2
2.337808625E0,-1.519627422E-1,2.228085846E-1,7.507676259E-3
2.347849625E0,-1.419282854E-1,2.223774493E-1,2.568932436E-2
2.357889625E0,-1.333401203E-1,2.334910929E-1,6.686125696E-2
2.367960625E0,-1.250133067E-1,2.513724864E-1,1.167684272E-1
2.378000625E0,-1.195522249E-1,2.842856944E-1,1.510433108E-1
2.388040625E0,-1.244627833E-1,2.904656529E-1,1.641956866E-1
2.398081625E0,-1.512062401E-1,2.689190805E-1,1.400216520E-1
2.408121625E0,-1.779588014E-1,2.110313475E-1,7.074014097E-2
2.418161625E0,-1.932796985E-1,1.178968772E-1,-2.629799396E-2
2.428232625E0,-1.967057586E-1,2.291872166E-2,-5.581581593E-2
2.438272625E0,-1.802372932E-1,-3.183906525E-2,-5.663021281E-2
2.448312625E0,-1.633708328E-1,-5.663769320E-2,-4.113350809E-2
2.458353625E0,-1.462182105E-1,-3.051474690E-2,-1.823697798E-2
2.468393625E0,-1.290417463E-1,2.028165944E-2,1.718995161E-2
2.478433625E0,-1.140500158E-1,9.367144853E-2,6.060027331E-2
2.488474625E0,-1.059563234E-1,1.527380943E-1,1.018392593E-1
2.498544625E0,-1.019187048E-1,1.805058122E-1,1.340153217E-1
2.508585625E0,-1.032057330E-1,1.645480096E-1,1.526182145E-1
2.518625625E0,-9.989967942E-2,1.506369859E-1,1.591251194E-1
2.528665625E0,-9.817603230E-2,1.153254062E-1,1.429318637E-1
2.538706625E0,-9.271974117E-2,5.921766162E-2,1.185525060E-1
2.548746625E0,-1.019255593E-1,-6.705661304E-3,8.823851496E-2
2.558786625E0,-1.127164215E-1,-2.952229418E-2,6.182022765E-2
2.568857625E0,-1.129870117E-1,-2.376256883E-2,5.047151074E-2
2.578897625E0,-9.671057016E-2,1.524413005E-3,5.065100640E-2
2.588937625E0,-7.487643510E-2,3.836238757E-2,6.301337481E-2
2.598978625E0,-5.396103114E-2,7.066945732E-2,7.469347119E-2
