"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.522182792E0,-1.998793488E0,-7.472311249E0,6.297554169E0
1.532222792E0,-2.345472565E0,-7.583230591E0,6.316414948E0
1.542293792E0,-2.316582642E0,-7.369175720E0,6.097719727E0
1.552333792E0,-1.946252747E0,-7.324718170E0,5.394631805E0
1.562374792E0,-2.108814697E0,-7.239245911E0,5.707930298E0
1.572414792E0,-2.047292633E0,-7.463928680E0,6.487808533E0
1.582454792E0,-1.929038544E0,-7.583679657E0,7.395221558E0
1.592495792E0,-9.351054382E-1,-6.582860870E0,6.570586395E0
1.602535792E0,1.738185425E0,-4.546645203E0,5.605992279E0
1.612606792E0,2.715802460E0,-5.982309723E0,5.046306152E0
1.622646792E0,1.402283936E0,-7.279212799E0,5.879323883E0
1.632686792E0,1.375938721E0,-7.313790894E0,6.342161407E0
1.642726792E0,2.231559448E0,-7.274871826E0,7.055428162E0
1.652767792E0,3.360212402E0,-6.778803406E0,9.360335083E0
1.662807792E0,5.051694946E0,-5.398224335E0,1.162108383E1
1.672847792E0,3.624862061E0,-8.136779480E0,6.525679779E0
1.682918792E0,1.978585510E0,-7.715405731E0,4.782105560E0
1.692958792E0,1.643133087E0,-6.741231537E0,6.290668488E0
1.702999792E0,1.330583038E0,-7.197782135E0,7.110513611E0
1.713039792E0,7.515870667E-1,-7.026687927E0,7.524402924E0
1.723079792E0,8.026309204E-1,-6.707850952E0,7.614515533E0
1.733120792E0,1.072070618E0,-7.106472015E0,7.605085144E0
1.743190792E0,1.325643311E0,-7.641758881E0,7.211254120E0
1.753231792E0,1.524878998E0,-8.155490570E0,6.953789520E0
1.763271792E0,1.937720490E0,-8.644673309E0,7.974067841E0
1.773311792E0,1.839225311E0,-8.442892914E0,7.993976440E0
1.783351792E0,1.402583313E0,-7.290439453E0,7.727680206E0
1.793392792E0,1.582060089E0,-6.494095459E0,7.949369202E0
1.803432792E0,1.963167572E0,-5.882467346E0,7.732170868E0
1.813503792E0,2.223775635E0,-5.454956360E0,7.529941406E0
1.823543792E0,2.229463806E0,-5.056934052E0,7.386539612E0
1.833583792E0,1.904788971E0,-4.825365601E0,6.656657410E0
1.843624792E0,7.988887024E-1,-5.088668060E0,4.247267761E0
1.853664792E0,-2.468367004E-1,-5.247038727E0,4.281546478E0
1.863704792E0,-1.127156067E0,-4.954247589E0,6.645580444E0
1.873745792E0,-1.994302826E0,-4.879702606E0,8.772507477E0
1.883815792E0,-2.567760315E0,-5.014721832E0,9.407187653E0
1.893856792E0,-2.589315491E0,-5.303471375E0,8.329877930E0
1.903896792E0,-2.338886261E0,-5.928122406E0,7.336543579E0
1.913936792E0,-2.083816681E0,-6.481521606E0,6.850653992E0
1.923959625E0,-1.595981140E0,-6.652017059E0,6.583459625E0
1.934000625E0,-4.688250732E-1,-6.733597412E0,6.583759003E0
1.944071625E0,3.233276367E-2,-6.772366791E0,6.884932709E0
1.954111625E0,-2.682421875E-1,-6.651268616E0,7.368576965E0
1.964151625E0,-4.728666687E-1,-6.592740326E0,7.761360168E0
1.974191625E0,-4.234693909E-1,-6.548133087E0,7.853867798E0
1.984232625E0,-3.809577942E-1,-6.434818726E0,7.719147949E0
1.994272625E0,-2.565664673E-1,-6.363117828E0,7.533683624E0
2.004312625E0,-2.920426941E-1,-6.355633392E0,7.339836731E0
2.014383625E0,-5.421725464E-1,-6.281836853E0,7.201973419E0
2.024423625E0,-7.259902954E-1,-6.264922028E0,7.077282715E0
2.034464625E0,-8.461903381E-1,-6.256838837E0,6.952891388E0
2.044504625E0,-8.945397949E-1,-6.255192261E0,6.961872711E0
2.054544625E0,-8.619076538E-1,-6.286177826E0,7.044051819E0
2.064584625E0,-7.601193237E-1,-6.317462769E0,7.079378357E0
2.074625625E0,-6.298901367E-1,-6.393953705E0,7.097490692E0
2.084696625E0,-5.025050354E-1,-6.537205811E0,7.056925049E0
2.094736625E0,-4.462220764E-1,-6.670129395E0,7.021149445E0
2.104776625E0,-4.273612976E-1,-6.778504028E0,7.053781586E0
2.114816625E0,-4.493655396E-1,-6.783443756E0,7.058721313E0
2.124857625E0,-4.902305603E-1,-6.691983948E0,7.088808746E0
2.134897625E0,-5.469625854E-1,-6.572682037E0,7.147337036E0
2.144968625E0,-6.231541443E-1,-6.472390594E0,7.166796570E0
2.155008625E0,-7.057823181E-1,-6.396049347E0,7.183861084E0
2.165048625E0,-7.854167175E-1,-6.345304871E0,7.251370697E0
2.175089625E0,-8.523275757E-1,-6.318211212E0,7.315736847E0
2.185129625E0,-9.369017029E-1,-6.313570862E0,7.431595917E0
2.195169625E0,-1.024020538E0,-6.303691406E0,7.567213898E0
2.205209625E0,-1.093775482E0,-6.287075958E0,7.651937714E0
2.215280625E0,-1.176852722E0,-6.318061523E0,7.600893860E0
2.225321625E0,-1.344653778E0,-6.337521057E0,7.570956116E0
2.235361625E0,-1.488804016E0,-6.375991058E0,7.422464905E0
2.245401625E0,-1.601519623E0,-6.384074249E0,7.178771667E0
2.255441625E0,-1.692230988E0,-6.443800049E0,6.959627380E0
2.265482625E0,-1.842668152E0,-6.619684296E0,6.710245972E0
2.275522625E0,-1.966460724E0,-6.735393677E0,6.563850403E0
2.285593625E0,-2.030527496E0,-6.771768036E0,6.460565186E0
2.295633625E0,-2.053579559E0,-6.741081848E0,6.376290436E0
2.305673625E0,-2.032623138E0,-6.615642700E0,6.405779114E0
2.315714625E0,-1.967358856E0,-6.579268341E0,6.474935303E0
2.325754625E0,-1.858535156E0,-6.637048187E0,6.593937836E0
2.335794625E0,-1.703457642E0,-6.635551300E0,6.789281616E0
2.345834625E0,-1.606309662E0,-6.642736359E0,6.976542206E0
2.355905625E0,-1.620530090E0,-6.690337372E0,7.065457306E0
2.365946625E0,-1.730551300E0,-6.760092316E0,7.045698395E0
2.375986625E0,-1.861977997E0,-6.814878387E0,6.922654266E0
2.386026625E0,-2.039658508E0,-6.755152588E0,6.715335388E0
2.396066625E0,-2.174677734E0,-6.734345856E0,6.585555267E0
2.406107625E0,-2.299967194E0,-6.733148346E0,6.521039429E0
2.416177625E0,-2.487227783E0,-6.715784454E0,6.585704956E0
2.426218625E0,-2.633024597E0,-6.619534607E0,6.857240295E0
2.436258625E0,-2.273322601E0,-6.574627991E0,7.161557465E0
2.446298625E0,-2.062710571E0,-6.625372467E0,7.390730896E0
2.456339625E0,-2.140848083E0,-6.720873871E0,7.397167511E0
2.466379625E0,-2.229613495E0,-6.954837341E0,7.204218750E0
2.476419625E0,-2.241887970E0,-7.163952484E0,7.005581818E0
2.486490625E0,-2.280058594E0,-7.208260345E0,6.828050995E0
2.496530625E0,-2.274969177E0,-7.063511353E0,6.706354065E0
2.506571625E0,-2.213896179E0,-6.842421112E0,6.622977448E0
2.516611625E0,-2.178719330E0,-6.659052429E0,6.590045929E0
2.526651625E0,-2.186353455E0,-6.503376160E0,6.550827484E0
2.536691625E0,-2.176473999E0,-6.485862579E0,6.534810791E0
2.546732625E0,-2.232756958E0,-6.558760986E0,6.594087524E0
2.556802625E0,-2.189945984E0,-6.776109009E0,6.642586670E0
2.566843625E0,-2.054627380E0,-7.047195282E0,6.638994141E0
2.576883625E0,-1.940863953E0,-7.198680267E0,6.615193634E0
2.586923625E0,-1.845212860E0,-7.251221008E0,6.579867096E0
2.596964625E0,-1.791773987E0,-7.313641205E0,6.622678070E0
2.607004625E0,-1.794169006E0,-7.376660156E0,6.729256439E0
