"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.354390625E0,1.699863076E0,2.212747484E-1,1.248324990E0
3.364430625E0,1.493771076E0,-2.991060540E-2,1.436075926E0
3.374470625E0,1.181353331E0,-2.729693055E-1,1.546155334E0
3.384511625E0,8.374178410E-1,-5.002517104E-1,1.560407043E0
3.394551625E0,5.116103888E-1,-6.253706217E-1,1.461592197E0
3.404622625E0,2.071817815E-1,-3.728635609E-1,1.297602773E0
3.414662625E0,1.675475389E-2,1.543392241E-1,1.045876265E0
3.424702625E0,-1.436694711E-2,6.695432067E-1,7.708109021E-1
3.434742625E0,7.692778856E-2,9.759929180E-1,5.224198699E-1
3.444783625E0,2.137623280E-1,9.996593595E-1,3.733704388E-1
3.454823625E0,3.680142164E-1,8.227084279E-1,2.763787806E-1
3.464894625E0,4.747414589E-1,6.701846719E-1,2.152877152E-1
3.474934625E0,4.978215992E-1,7.463727593E-1,2.045729905E-1
3.484974625E0,4.738398194E-1,1.029507518E0,2.091320455E-1
3.495015625E0,4.862139523E-1,1.350202084E0,1.331638992E-1
3.505055625E0,5.736594200E-1,1.546884537E0,-6.626612693E-2
3.515095625E0,6.767687798E-1,1.579457521E0,-3.206752539E-1
3.525166625E0,7.408965826E-1,1.504887700E0,-4.932739139E-1
3.535206625E0,7.443853617E-1,1.387702823E0,-5.359393358E-1
3.545247625E0,6.917202473E-1,1.266801476E0,-4.936621785E-1
3.555287625E0,5.893206596E-1,1.158887744E0,-4.175285101E-1
3.565327625E0,4.588691890E-1,1.077571511E0,-3.203055561E-1
3.575398625E0,3.358417153E-1,1.026852727E0,-2.067448199E-1
3.585438625E0,2.867088020E-1,1.022642255E0,-8.277387917E-2
3.595479625E0,3.257358968E-1,1.072315454E0,3.350709751E-2
3.605519625E0,4.321259856E-1,1.140060663E0,1.117997691E-1
3.615559625E0,5.585697889E-1,1.159583688E0,1.413456202E-1
3.625599625E0,6.748354435E-1,1.121244073E0,1.427224576E-1
3.635670625E0,7.456918359E-1,1.031940937E0,1.303276122E-1
3.645710625E0,7.719439268E-1,9.265751839E-1,1.189758852E-1
3.655751625E0,7.626113892E-1,8.282105923E-1,1.168687642E-1
3.665791625E0,7.228202820E-1,7.732613087E-1,1.309491694E-1
3.675831625E0,6.793549657E-1,7.943618298E-1,1.420624554E-1
3.685902625E0,6.257817745E-1,8.572806120E-1,1.629533619E-1
3.695942625E0,5.630136132E-1,8.616622090E-1,1.963705420E-1
3.705983625E0,5.338075161E-1,8.224727511E-1,2.641003132E-1
3.716023625E0,5.696603060E-1,8.474197984E-1,3.205414712E-1
3.726063625E0,6.365226507E-1,8.652970791E-1,3.450033963E-1
3.736104625E0,7.132362723E-1,8.554219007E-1,3.641448617E-1
3.746174625E0,7.523778081E-1,7.849128842E-1,3.859145939E-1
3.756215625E0,7.565586567E-1,7.100520134E-1,4.244646132E-1
3.766255625E0,7.197042704E-1,6.452754140E-1,4.599589407E-1
3.776295625E0,6.474297643E-1,6.243109107E-1,4.710497856E-1
3.786335625E0,5.557997227E-1,6.159898639E-1,4.670244157E-1
3.796376625E0,4.863300025E-1,6.295778155E-1,4.452868998E-1
3.806447625E0,4.461080134E-1,5.854883790E-1,3.939893544E-1
3.816487625E0,4.452379048E-1,5.302399397E-1,3.243312538E-1
3.826527625E0,4.576120079E-1,4.989802539E-1,2.578225434E-1
3.836567625E0,4.673500061E-1,5.424643159E-1,2.188684344E-1
3.846608625E0,4.720472991E-1,6.956877112E-1,2.186117023E-1
3.856678625E0,4.336560071E-1,8.353734612E-1,2.310290784E-1
3.866719625E0,3.698834181E-1,7.272730470E-1,2.383730114E-1
3.876759625E0,2.674694061E-1,5.751516223E-1,2.253615856E-1
3.886799625E0,1.866126359E-1,5.374242067E-1,1.814101189E-1
3.896840625E0,9.284652770E-2,5.085862875E-1,7.533258200E-2
3.906880625E0,-5.929853767E-3,5.390914679E-1,-8.639879525E-2
3.916951625E0,-9.454038739E-2,6.450636387E-1,-2.353333682E-1
3.926991625E0,-1.938177049E-1,7.140253782E-1,-3.411721885E-1
3.937031625E0,-2.995484173E-1,7.190124393E-1,-4.296658337E-1
3.947072625E0,-3.812083900E-1,6.799369454E-1,-5.159599781E-1
3.957119542E0,-4.521420598E-1,5.831669569E-1,-5.903910398E-1
3.967190542E0,-4.953238964E-1,5.360151529E-1,-6.127991080E-1
3.977230542E0,-5.671894550E-1,6.203214526E-1,-5.930671692E-1
3.987270542E0,-6.994638443E-1,8.300552368E-1,-5.738891959E-1
3.997310542E0,-8.899481297E-1,1.065984011E0,-5.612636209E-1
4.007351542E0,-1.124878168E0,1.243770242E0,-5.611245632E-1
4.017391542E0,-1.358683467E0,1.373669028E0,-5.457751751E-1
4.027462542E0,-1.563641906E0,1.520164490E0,-5.089823008E-1
4.037502542E0,-1.728238463E0,1.689247847E0,-4.581499994E-1
4.047542542E0,-1.846040726E0,1.862607479E0,-4.114264250E-1
4.057583542E0,-1.936273336E0,2.024732590E0,-4.000118673E-1
4.067623542E0,-2.011741877E0,2.142862320E0,-4.826481640E-1
4.077663542E0,-2.051930666E0,2.250549078E0,-6.665139198E-1
4.087734542E0,-2.011592388E0,2.358800650E0,-9.004243612E-1
4.097774542E0,-1.878423333E0,2.531070471E0,-1.136254549E0
4.107815542E0,-1.705661654E0,2.649413586E0,-1.343458295E0
