"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.243328750E0,-8.861572266E-1,-9.027127991E0,2.947370911E-1
2.253398750E0,-1.079105988E0,-9.080716553E0,3.972738647E-1
2.263439750E0,-1.076561279E0,-9.162446594E0,2.646496582E-1
2.273479750E0,-9.590556335E-1,-9.329349518E0,7.080276489E-2
2.283519750E0,-7.875123596E-1,-9.496402130E0,-1.077758789E-1
2.293560750E0,-6.186634827E-1,-9.598789215E0,-1.583706665E-1
2.303630750E0,-5.264552307E-1,-9.629176025E0,-8.038284302E-2
2.313671750E0,-5.903723145E-1,-9.587412872E0,3.098556519E-2
2.323711750E0,-7.917036438E-1,-9.506131897E0,1.410067749E-1
2.333751750E0,-1.071022797E0,-9.404493256E0,2.740800476E-1
2.343792750E0,-1.425186310E0,-9.358389130E0,3.435356140E-1
2.353832750E0,-1.689686279E0,-9.460177460E0,5.200186157E-1
2.363903750E0,-1.755848694E0,-9.599537659E0,7.638615417E-1
2.373943750E0,-1.620979156E0,-9.765243073E0,9.246272278E-1
2.383983750E0,-1.249451752E0,-9.989776154E0,1.073866882E0
2.394023750E0,-7.780819702E-1,-1.023601410E1,9.874964905E-1
2.404064750E0,-2.130070496E-1,-1.061038559E1,8.171507263E-1
2.414135750E0,2.583627319E-1,-1.102921463E1,5.180726624E-1
2.424175750E0,5.083428955E-1,-1.141601028E1,3.682342529E-1
2.434215750E0,5.538482666E-1,-1.162467636E1,3.399430847E-1
2.444255750E0,3.671864319E-1,-1.159892990E1,4.263134766E-1
2.454296750E0,1.269360352E-1,-1.143891266E1,8.366102600E-1
2.464336750E0,-1.796264648E-2,-1.135867950E1,1.287023621E0
2.474407750E0,-5.628295898E-2,-1.162856827E1,1.528770905E0
2.484447750E0,-2.649490356E-1,-1.191447372E1,1.767225037E0
2.494487750E0,-5.321434021E-1,-1.202374649E1,1.914369049E0
2.504528750E0,-9.102571106E-1,-1.194261520E1,1.899998932E0
2.514568750E0,-1.418899384E0,-1.165715881E1,1.862127686E0
2.524639750E0,-1.906884613E0,-1.121557709E1,1.568588104E0
2.534679750E0,-2.236948242E0,-1.075887680E1,1.069974976E0
2.544719750E0,-2.379002838E0,-1.058209442E1,7.806266785E-1
2.554760750E0,-2.356100464E0,-1.046578629E1,8.511300659E-1
2.564800750E0,-2.349214783E0,-1.040725800E1,1.140328674E0
2.574840750E0,-2.458936615E0,-1.022448807E1,1.463955688E0
2.584911750E0,-2.751578064E0,-9.724378052E0,1.620679779E0
2.594951750E0,-3.207829285E0,-8.959169312E0,1.529369659E0
2.604992750E0,-3.695814514E0,-8.346792755E0,1.349593506E0
2.615032750E0,-4.168531494E0,-7.955057373E0,1.193168793E0
2.625072750E0,-4.599485321E0,-7.632777557E0,9.964778137E-1
2.635112750E0,-4.900209961E0,-7.387886810E0,8.370593262E-1
