"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.571351209E2,-1.303594162E1,-4.077041748E1,-1.649165543E1
1.571451619E2,-1.772299484E1,-5.311764130E1,-1.782687881E1
1.571552329E2,-1.866947662E1,-5.219196625E1,-1.393272675E1
1.571652729E2,-1.249317032E1,-3.539015579E1,-8.329428864E0
1.571753129E2,-4.803660736E0,-2.176683563E1,-5.822741547E0
1.571853529E2,6.508465576E-1,-1.155746613E1,-4.624782715E0
1.571953939E2,3.977678375E0,-4.582720184E0,-4.197421417E0
1.572054639E2,5.343138885E0,-6.222560120E-1,-4.512665863E0
1.572155049E2,6.365063782E0,1.647024994E0,-5.413492584E0
1.572255449E2,6.618337097E0,2.558030548E0,-4.982239380E0
1.572355849E2,6.241869965E0,3.275787964E0,-4.475093994E0
1.572456259E2,5.780379639E0,3.280128937E0,-4.602030029E0
1.572556959E2,5.070106659E0,2.177521820E0,-2.790197754E0
1.572657369E2,4.684209137E0,1.029259644E0,-5.358856201E-1
1.572757769E2,4.467010803E0,2.366578674E-1,8.352630615E-1
1.572858169E2,4.241729279E0,-3.365002441E-1,1.460812225E0
1.572958579E2,3.487597504E0,-5.530998230E-1,1.372046814E0
1.573058979E2,2.453996887E0,-5.282514954E-1,8.403524780E-1
1.573159689E2,1.367406464E0,-2.809657288E-1,1.372645569E-1
1.573260089E2,1.332229614E-1,3.592529297E-2,-6.923103333E-1
1.573360489E2,-1.032702484E0,7.542814636E-1,-5.631289673E-1
1.573460889E2,-1.571881256E0,2.198627930E0,2.781216431E-1
1.573561299E2,-2.195035400E0,2.456391907E0,8.123606873E-1
1.573662009E2,-2.506837006E0,2.399360504E0,1.590742035E0
1.573762409E2,-2.794389038E0,2.243384857E0,2.513123932E0
1.573862809E2,-2.846031647E0,-6.417155457E-1,5.005141754E0
1.573963209E2,-2.438129883E0,-4.609963531E0,8.120164032E0
1.574063619E2,-3.670666809E0,-5.667364655E0,2.667453003E-1
1.574164319E2,-4.231400757E0,-9.071435852E0,-1.211101501E1
1.574264729E2,-2.516866150E0,-1.296289352E1,-1.474463837E1
1.574365129E2,-1.125509491E0,-1.345566879E1,-9.030121765E0
1.574465529E2,1.071771240E-1,-1.271066803E1,-2.300116882E0
1.574565939E2,1.893412628E0,-1.252729935E1,1.346150665E0
1.574666639E2,3.524869995E0,-1.166179916E1,5.223088531E0
1.574767049E2,3.510799255E0,-9.718989258E0,8.020171967E0
