"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.984273417E0,3.343762830E-3,-2.858851910E0,-2.138868570E0
2.994344417E0,6.213212609E-1,-3.040026903E0,-2.081491709E0
3.004384417E0,1.125750184E0,-2.978904963E0,-2.082344532E0
3.014424417E0,1.408007503E0,-2.774859905E0,-1.968651056E0
3.024464417E0,1.459026456E0,-2.195771694E0,-1.649835467E0
3.034505417E0,1.344385266E0,-1.416432023E0,-1.272145152E0
3.044576417E0,1.022881985E0,-8.200014234E-1,-9.195910692E-1
3.054616417E0,5.242844224E-1,-6.047546268E-1,-6.159119010E-1
3.064656417E0,-2.632261813E-2,-7.898567915E-1,-4.218428731E-1
3.074696417E0,-4.027902484E-1,-1.206945658E0,-3.726947904E-1
3.084737417E0,-3.757258058E-1,-1.779456854E0,-5.173501968E-1
3.094777417E0,1.333353855E-2,-2.328279972E0,-7.809024453E-1
3.104848417E0,5.650525689E-1,-2.646938086E0,-1.001640797E0
3.114888417E0,1.040474534E0,-2.553850651E0,-1.088336110E0
3.124928417E0,1.393714428E0,-1.974687099E0,-1.199136615E0
3.134969417E0,1.506561399E0,-1.213881612E0,-1.293417573E0
3.145009417E0,1.508008718E0,-3.738285899E-1,-1.273744226E0
3.155080417E0,1.580205441E0,5.413600206E-1,-1.084413648E0
3.165120417E0,1.539082289E0,1.778572798E0,-6.773757935E-1
3.175160417E0,1.028898001E0,2.709310532E0,-9.524071217E-2
3.185201417E0,-4.757550955E-1,2.162710428E0,8.399710655E-1
3.195241417E0,-2.085420847E0,5.144504309E-1,1.922537804E0
3.205281417E0,-2.065618515E0,-7.060125470E-1,2.712898731E0
3.215352417E0,-4.499234259E-1,-1.882539749E0,2.961929560E0
3.225392417E0,1.823935986E0,-3.408342123E0,2.744587898E0
3.235432417E0,4.094403744E0,-4.474957943E0,2.048463821E0
3.245473417E0,5.096693516E0,-3.684163570E0,1.023687124E0
3.255513417E0,5.016906738E0,-1.204353929E0,-1.331695765E-1
3.265584417E0,4.483449936E0,1.772626281E0,-6.007591486E-1
3.275624417E0,3.436736822E0,3.461282492E0,-6.057099700E-1
3.285664417E0,2.242616653E0,3.311836720E0,-5.183145404E-1
3.295705417E0,1.222066641E0,1.924154401E0,-6.989069283E-2
3.305745417E0,9.201816916E-1,-1.122729897E0,7.854833007E-1
3.315785417E0,1.210554481E0,-3.754490376E0,1.720154643E0
3.325856417E0,1.586753011E0,-5.024773598E0,2.226073980E0
3.335896417E0,1.909109712E0,-4.947534561E0,2.066357136E0
3.345937417E0,2.123186588E0,-3.689988136E0,1.296949506E0
3.355977417E0,2.048698902E0,-1.037370086E0,2.953312099E-1
3.366017417E0,1.842283964E0,2.227813721E0,-2.934393585E-1
3.376088417E0,1.488124490E0,4.027987003E0,-3.863618374E-1
3.386128417E0,1.123737097E0,4.151070595E0,-2.399957031E-1
3.396169417E0,6.656101942E-1,2.774223804E0,-2.244793810E-2
3.406209417E0,-5.279709399E-2,7.257646322E-1,1.084216908E-1
3.416249417E0,-9.075871110E-1,-9.318765998E-1,1.887375712E-1
3.426289417E0,-1.676305532E0,-1.712100983E0,1.789746881E-1
3.436353625E0,-2.274640322E0,-1.914157391E0,2.788850479E-2
3.446393625E0,-2.710074663E0,-1.925296307E0,-2.531542778E-1
3.456434625E0,-2.960637569E0,-1.921210527E0,-5.659824610E-1
3.466474625E0,-3.091143608E0,-1.929096103E0,-8.092578053E-1
3.476514625E0,-3.200283051E0,-2.001982927E0,-9.801110625E-1
3.486585625E0,-3.192718983E0,-2.130131960E0,-1.051306129E0
3.496625625E0,-3.076464176E0,-2.223122597E0,-1.028680205E0
3.506666625E0,-3.037244081E0,-2.278632641E0,-9.102368951E-1
3.516706625E0,-3.267479181E0,-2.459336758E0,-6.424909234E-1
3.526746625E0,-3.808823586E0,-2.848317862E0,-4.424889684E-1
3.536787625E0,-3.872062445E0,-2.905978441E0,-5.284973979E-1
3.546857625E0,-3.616639614E0,-2.572433710E0,-6.168062687E-1
3.556898625E0,-3.444006920E0,-1.816882610E0,-6.326549649E-1
3.566938625E0,-3.537015200E0,-7.459291816E-1,-5.302238464E-1
3.576978625E0,-3.597418785E0,-1.482129991E-1,-3.944348693E-1
3.587018625E0,-3.765493631E0,-9.399259835E-2,-4.806796610E-1
3.597059625E0,-3.771914721E0,1.363894790E-1,-2.107802629E-1
3.607130625E0,-3.334954500E0,1.163222909E0,1.202955469E-2
3.617170625E0,-2.697901011E0,2.049556017E0,-5.062661171E-1
3.627210625E0,-2.133608103E0,1.913480163E0,-1.399871945E0
3.637250625E0,-1.557132244E0,7.773688436E-1,-2.245952606E0
3.647291625E0,-9.382445216E-1,-8.838544488E-1,-2.747905970E0
3.657361625E0,-3.367626965E-1,-2.091379166E0,-2.786183834E0
3.667402625E0,2.574833632E-1,-2.824145079E0,-2.673866987E0
3.677442625E0,7.505394220E-1,-3.139649630E0,-2.509706497E0
3.687482625E0,1.142823696E0,-3.141498804E0,-2.453333855E0
3.697523625E0,1.448343396E0,-2.826522112E0,-2.342563152E0
3.707563625E0,1.656128526E0,-2.262344837E0,-2.066833496E0
3.717634625E0,1.717289925E0,-1.562858224E0,-1.620738506E0
3.727674625E0,1.579565525E0,-8.574099541E-1,-1.061465383E0
3.737714625E0,1.160874009E0,-4.150602520E-1,-4.968611896E-1
3.747755625E0,6.032226682E-1,-1.599900126E-1,-1.707552234E-3
